Name,Verein,Position,Einsatz,Alter,Vorlagen,Elfmetertor,Tore,Nationalitaet,SpielMinuten,ShotOnTarget,AbgefangeneBaelle,AbgewehrteElfmeter,GesamteElfmeter,AbgewehrteBaelle,Balleroberungen,BallVerluste,Fouls,CleanSheet,SuccessfulDribblings,TotalDribblings,ErrorGegentor,FlankenGeblockt,GesamteFlanken,GeklaerteBaelle,GrosschancenKreiert,GrossChancenVereitelt,GesamteChancen,GewonneneLuftkaempfe,GesamteLuftkaempfe,Paraden,PassCompleted,TotalPass,TotalShots,SuccessfulTackles,TotalTackles,TorschussVorlagen,GewonneneZweikaempfe,GesamteZweikaempfe,Value
Steven Zuber,Spiel für mehrere Vereine,Linkes Mittelfeld,22.0,27.0,2.0,1.0,5.0,Schweiz,1706.0,13.0,11.0,NULL,NULL,NULL,12.0,52.0,22.0,NULL,9.0,25.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,16.0,42.0,NULL,521.0,711.0,48.0,12.0,36.0,17.0,66.0,179.0,7.0
Renato Steffen,VfL Wolfsburg,Rechtsaußen,31.0,27.0,1.0,0.0,5.0,Schweiz,1592.0,8.0,16.0,NULL,NULL,NULL,16.0,28.0,19.0,NULL,20.0,31.0,NULL,NULL,NULL,13.0,3.0,NULL,NULL,19.0,46.0,NULL,431.0,577.0,27.0,16.0,34.0,14.0,92.0,172.0,5.0
Lukas Klostermann,RasenBallsport Leipzig,Rechter Verteidiger,26.0,22.0,1.0,0.0,5.0,Deutschland,2141.0,6.0,29.0,NULL,NULL,NULL,29.0,18.0,17.0,NULL,7.0,17.0,NULL,NULL,NULL,62.0,NULL,NULL,NULL,43.0,70.0,NULL,753.0,1019.0,13.0,29.0,66.0,18.0,111.0,189.0,30.0
Marko Grujic,Hertha BSC,Zentrales Mittelfeld,22.0,23.0,1.0,0.0,5.0,Serbien,1907.0,20.0,29.0,NULL,NULL,NULL,33.0,40.0,44.0,NULL,29.0,49.0,NULL,NULL,NULL,50.0,NULL,NULL,NULL,69.0,105.0,NULL,776.0,956.0,46.0,33.0,70.0,16.0,165.0,308.0,20.0
Nicolai Müller,Spiel für mehrere Vereine,Rechtsaußen,21.0,31.0,0.0,0.0,5.0,Deutschland,1185.0,10.0,NULL,NULL,NULL,NULL,11.0,37.0,17.0,NULL,18.0,31.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0,27.0,NULL,218.0,317.0,23.0,11.0,41.0,12.0,58.0,150.0,NULL
Kerem Demirbay,TSG 1899 Hoffenheim,Zentrales Mittelfeld,26.0,25.0,9.0,0.0,4.0,Deutschland & Türkei,2132.0,17.0,24.0,NULL,NULL,NULL,36.0,75.0,46.0,NULL,57.0,80.0,NULL,NULL,NULL,21.0,14.0,NULL,NULL,15.0,38.0,NULL,1096.0,1417.0,58.0,36.0,95.0,76.0,162.0,344.0,32.0
Jean-Paul Boëtius,1.FSV Mainz 05,Offensives Mittelfeld,30.0,25.0,8.0,0.0,4.0,Niederlande & Suriname,2257.0,13.0,35.0,NULL,NULL,NULL,32.0,66.0,52.0,NULL,30.0,56.0,NULL,NULL,NULL,11.0,9.0,NULL,NULL,23.0,55.0,NULL,648.0,859.0,46.0,32.0,76.0,29.0,150.0,322.0,6.0
Emil Forsberg,RasenBallsport Leipzig,Linksaußen,20.0,27.0,8.0,3.0,4.0,Schweden,1305.0,14.0,NULL,NULL,NULL,NULL,7.0,46.0,7.0,NULL,21.0,45.0,NULL,NULL,NULL,NULL,6.0,NULL,NULL,8.0,18.0,NULL,405.0,529.0,30.0,7.0,23.0,38.0,65.0,139.0,25.0
Marco Richter,FC Augsburg,Linksaußen,25.0,21.0,6.0,0.0,4.0,Deutschland,1510.0,23.0,13.0,NULL,NULL,NULL,8.0,84.0,22.0,NULL,33.0,75.0,1.0,NULL,NULL,NULL,6.0,NULL,NULL,20.0,64.0,NULL,316.0,474.0,55.0,8.0,23.0,17.0,91.0,250.0,7.0
Marcel Sabitzer,RasenBallsport Leipzig,Rechtsaußen,30.0,25.0,5.0,0.0,4.0,Österreich,2492.0,17.0,33.0,NULL,NULL,NULL,28.0,55.0,27.0,NULL,15.0,28.0,NULL,NULL,NULL,29.0,8.0,NULL,NULL,18.0,45.0,NULL,836.0,1218.0,64.0,28.0,73.0,35.0,108.0,239.0,25.0
André Hahn,FC Augsburg,Rechtsaußen,28.0,28.0,5.0,0.0,4.0,Deutschland,2207.0,15.0,26.0,NULL,NULL,NULL,38.0,59.0,67.0,NULL,18.0,49.0,NULL,NULL,NULL,28.0,3.0,NULL,NULL,56.0,121.0,NULL,301.0,559.0,37.0,38.0,92.0,28.0,157.0,374.0,NULL
Philipp Max,FC Augsburg,Linker Verteidiger,30.0,25.0,4.0,0.0,4.0,Deutschland,2732.0,13.0,22.0,NULL,NULL,NULL,25.0,24.0,12.0,NULL,10.0,19.0,1.0,NULL,NULL,39.0,9.0,NULL,NULL,24.0,62.0,NULL,841.0,1244.0,24.0,25.0,52.0,58.0,88.0,178.0,17.0
Mikael Ishak,1.FC Nürnberg,Mittelstürmer,29.0,26.0,4.0,0.0,4.0,Schweden & Syrien,2030.0,14.0,NULL,NULL,NULL,NULL,6.0,32.0,23.0,NULL,11.0,21.0,NULL,NULL,NULL,11.0,2.0,NULL,NULL,32.0,113.0,NULL,291.0,421.0,39.0,6.0,22.0,20.0,84.0,233.0,4.0
Christian Pulisic,Borussia Dortmund,Rechtsaußen,20.0,20.0,4.0,0.0,4.0,Vereinigte Staaten & Kroatien,1030.0,10.0,NULL,NULL,NULL,NULL,6.0,91.0,9.0,NULL,43.0,92.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,15.0,44.0,NULL,399.0,530.0,27.0,6.0,14.0,16.0,95.0,228.0,60.0
Martin Harnik,SV Werder Bremen,Mittelstürmer,18.0,31.0,4.0,0.0,4.0,Österreich & Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hanno Behrens,1.FC Nürnberg,Zentrales Mittelfeld,30.0,29.0,3.0,2.0,4.0,Deutschland,2795.0,9.0,34.0,NULL,NULL,NULL,27.0,23.0,39.0,NULL,8.0,16.0,NULL,NULL,NULL,46.0,2.0,NULL,NULL,96.0,230.0,NULL,617.0,912.0,39.0,27.0,71.0,21.0,172.0,390.0,NULL
Ihlas Bebou,Hannover 96,Rechtsaußen,12.0,25.0,3.0,1.0,4.0,Togo & Deutschland,1137.0,13.0,9.0,NULL,NULL,NULL,9.0,52.0,9.0,NULL,35.0,66.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,20.0,48.0,NULL,292.0,438.0,27.0,9.0,18.0,15.0,90.0,183.0,12.0
Johannes Eggestein,SV Werder Bremen,Rechtsaußen,23.0,21.0,2.0,0.0,4.0,Deutschland,1194.0,12.0,NULL,NULL,NULL,NULL,9.0,63.0,15.0,NULL,15.0,43.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,13.0,51.0,NULL,231.0,330.0,34.0,9.0,26.0,11.0,55.0,181.0,10.0
Axel Witsel,Borussia Dortmund,Defensives Mittelfeld,33.0,30.0,1.0,0.0,4.0,Belgien & Martinique,3093.0,11.0,47.0,NULL,NULL,NULL,33.0,35.0,26.0,NULL,25.0,35.0,NULL,NULL,NULL,47.0,3.0,NULL,NULL,46.0,76.0,NULL,2248.0,2418.0,36.0,33.0,57.0,15.0,167.0,269.0,32.0
Denis Zakaria,Borussia Mönchengladbach,Defensives Mittelfeld,31.0,22.0,1.0,0.0,4.0,Schweiz & DR Kongo,2088.0,14.0,24.0,NULL,NULL,NULL,21.0,54.0,31.0,NULL,30.0,62.0,NULL,NULL,NULL,18.0,NULL,NULL,NULL,15.0,35.0,NULL,628.0,765.0,36.0,21.0,59.0,16.0,103.0,225.0,20.0
Rani Khedira,FC Augsburg,Defensives Mittelfeld,30.0,25.0,1.0,0.0,4.0,Deutschland & Tunesien,2800.0,5.0,82.0,NULL,NULL,NULL,39.0,14.0,47.0,NULL,NULL,NULL,1.0,NULL,NULL,91.0,NULL,NULL,NULL,61.0,118.0,NULL,1023.0,1252.0,14.0,39.0,73.0,7.0,142.0,275.0,10.0
Kaan Ayhan,Fortuna Düsseldorf,Innenverteidiger,28.0,24.0,1.0,0.0,4.0,Türkei & Deutschland,2603.0,9.0,63.0,NULL,NULL,NULL,31.0,NULL,25.0,NULL,13.0,18.0,2.0,NULL,NULL,114.0,NULL,NULL,NULL,42.0,71.0,NULL,1262.0,1436.0,23.0,31.0,77.0,6.0,126.0,209.0,9.0
Guido Burgstaller,FC Schalke 04,Mittelstürmer,24.0,30.0,1.0,0.0,4.0,Österreich,1643.0,18.0,NULL,NULL,NULL,NULL,9.0,62.0,24.0,NULL,7.0,36.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33.0,96.0,NULL,188.0,306.0,45.0,9.0,16.0,8.0,75.0,226.0,5.5
Florian Niederlechner,SC Freiburg,Mittelstürmer,24.0,28.0,1.0,0.0,4.0,Deutschland,1006.0,18.0,NULL,NULL,NULL,NULL,NULL,29.0,23.0,NULL,9.0,24.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.0,43.0,NULL,NULL,NULL,31.0,NULL,NULL,8.0,48.0,131.0,NULL
Dong-won Ji,FC Augsburg,Mittelstürmer,14.0,27.0,1.0,0.0,4.0,Südkorea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lucas Höler,SC Freiburg,Mittelstürmer,26.0,24.0,0.0,0.0,4.0,Deutschland,1083.0,11.0,NULL,NULL,NULL,NULL,16.0,49.0,17.0,NULL,8.0,33.0,2.0,NULL,NULL,14.0,NULL,NULL,NULL,14.0,44.0,NULL,172.0,261.0,26.0,16.0,32.0,8.0,68.0,173.0,NULL
Willi Orban,RasenBallsport Leipzig,Innenverteidiger,24.0,26.0,0.0,0.0,4.0,Ungarn & Deutschland,2167.0,10.0,37.0,NULL,NULL,NULL,26.0,NULL,27.0,NULL,NULL,NULL,NULL,NULL,NULL,139.0,NULL,NULL,NULL,111.0,181.0,NULL,783.0,999.0,27.0,26.0,62.0,NULL,190.0,301.0,20.0
Anthony Ujah,1.FSV Mainz 05,Mittelstürmer,22.0,28.0,0.0,0.0,4.0,Nigeria,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arjen Robben,FC Bayern München,Rechtsaußen,12.0,35.0,0.0,0.0,4.0,Niederlande,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0
Dawid Kownacki,Fortuna Düsseldorf,Mittelstürmer,10.0,22.0,0.0,0.0,4.0,Polen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.0
Florian Neuhaus,Borussia Mönchengladbach,Zentrales Mittelfeld,32.0,22.0,9.0,0.0,3.0,Deutschland,2164.0,13.0,10.0,NULL,NULL,NULL,15.0,65.0,26.0,NULL,29.0,59.0,NULL,NULL,NULL,21.0,5.0,NULL,NULL,7.0,27.0,NULL,734.0,894.0,51.0,15.0,45.0,28.0,98.0,229.0,22.0
Davie Selke,Hertha BSC,Mittelstürmer,30.0,24.0,9.0,0.0,3.0,Deutschland,1869.0,21.0,NULL,NULL,NULL,NULL,NULL,61.0,28.0,NULL,22.0,55.0,NULL,NULL,NULL,NULL,5.0,NULL,NULL,105.0,198.0,NULL,276.0,475.0,45.0,NULL,NULL,19.0,158.0,345.0,18.0
Valentino Lazaro,Hertha BSC,Rechtes Mittelfeld,31.0,23.0,7.0,0.0,3.0,Österreich,2918.0,8.0,44.0,NULL,NULL,NULL,33.0,65.0,23.0,NULL,34.0,74.0,NULL,NULL,NULL,54.0,12.0,NULL,NULL,20.0,65.0,NULL,1175.0,1621.0,20.0,33.0,78.0,53.0,128.0,293.0,17.0
Jonathan Schmid,FC Augsburg,Rechter Verteidiger,28.0,28.0,7.0,0.0,3.0,Frankreich,2687.0,10.0,41.0,NULL,NULL,NULL,22.0,40.0,21.0,NULL,16.0,36.0,2.0,NULL,NULL,59.0,2.0,NULL,NULL,29.0,55.0,NULL,1104.0,1404.0,18.0,22.0,56.0,44.0,110.0,208.0,5.0
Thomas Delaney,Borussia Dortmund,Zentrales Mittelfeld,30.0,27.0,6.0,0.0,3.0,Dänemark & Vereinigte Staaten,2427.0,10.0,57.0,NULL,NULL,NULL,54.0,21.0,45.0,NULL,10.0,17.0,NULL,NULL,NULL,43.0,3.0,NULL,NULL,54.0,97.0,NULL,1382.0,1624.0,33.0,54.0,80.0,13.0,157.0,273.0,27.0
Marcel Halstenberg,RasenBallsport Leipzig,Linker Verteidiger,28.0,27.0,6.0,2.0,3.0,Deutschland,2556.0,10.0,38.0,NULL,NULL,NULL,43.0,40.0,24.0,NULL,29.0,44.0,NULL,NULL,NULL,53.0,14.0,NULL,NULL,70.0,106.0,NULL,1153.0,1590.0,23.0,43.0,90.0,55.0,187.0,310.0,22.0
Jonathan de Guzmán,Eintracht Frankfurt,Zentrales Mittelfeld,28.0,31.0,6.0,0.0,3.0,Niederlande & Kanada,1678.0,7.0,11.0,NULL,NULL,NULL,24.0,24.0,18.0,NULL,13.0,20.0,NULL,NULL,NULL,12.0,9.0,NULL,NULL,24.0,42.0,NULL,688.0,944.0,22.0,24.0,49.0,35.0,88.0,161.0,NULL
Jérôme Roussillon,VfL Wolfsburg,Linker Verteidiger,28.0,26.0,6.0,0.0,3.0,Frankreich & Guadeloupe,2617.0,10.0,31.0,NULL,NULL,NULL,29.0,80.0,20.0,NULL,48.0,91.0,NULL,NULL,NULL,37.0,4.0,NULL,NULL,23.0,51.0,NULL,1020.0,1361.0,20.0,29.0,54.0,31.0,154.0,291.0,20.0
Daniel Brosinski,1.FSV Mainz 05,Rechter Verteidiger,26.0,30.0,6.0,3.0,3.0,Deutschland,2343.0,6.0,30.0,NULL,NULL,NULL,16.0,27.0,13.0,NULL,6.0,22.0,NULL,NULL,NULL,44.0,6.0,NULL,NULL,19.0,49.0,NULL,946.0,1343.0,18.0,16.0,42.0,40.0,65.0,149.0,NULL
Pavel Kaderabek,TSG 1899 Hoffenheim,Rechter Verteidiger,29.0,27.0,4.0,0.0,3.0,Tschechien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.0
Theodor Gebre Selassie,SV Werder Bremen,Rechter Verteidiger,32.0,32.0,3.0,0.0,3.0,Tschechien & Äthiopien,3018.0,13.0,68.0,NULL,NULL,NULL,38.0,38.0,33.0,NULL,14.0,31.0,NULL,NULL,NULL,87.0,2.0,NULL,NULL,101.0,181.0,NULL,1352.0,1669.0,27.0,38.0,81.0,21.0,199.0,379.0,NULL
David Alaba,FC Bayern München,Linker Verteidiger,31.0,26.0,3.0,0.0,3.0,Österreich,2688.0,16.0,32.0,NULL,NULL,NULL,20.0,31.0,12.0,NULL,28.0,39.0,NULL,NULL,NULL,30.0,6.0,NULL,NULL,24.0,43.0,NULL,1766.0,2140.0,47.0,20.0,40.0,28.0,94.0,163.0,55.0
John Anthony Brooks,VfL Wolfsburg,Innenverteidiger,29.0,26.0,3.0,0.0,3.0,Vereinigte Staaten & Deutschland,2798.0,6.0,40.0,NULL,NULL,NULL,15.0,12.0,14.0,NULL,NULL,NULL,1.0,NULL,NULL,131.0,NULL,NULL,NULL,74.0,102.0,NULL,1490.0,1738.0,19.0,15.0,44.0,NULL,120.0,188.0,15.0
Josip Brekalo,VfL Wolfsburg,Linksaußen,25.0,20.0,3.0,0.0,3.0,Kroatien,1515.0,13.0,15.0,NULL,NULL,NULL,6.0,63.0,16.0,NULL,32.0,70.0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,7.0,21.0,NULL,424.0,623.0,26.0,6.0,28.0,20.0,75.0,180.0,10.0
Eduard Löwen,1.FC Nürnberg,Zentrales Mittelfeld,22.0,22.0,3.0,0.0,3.0,Deutschland & Russland,1717.0,13.0,10.0,NULL,NULL,NULL,21.0,77.0,18.0,NULL,29.0,70.0,NULL,NULL,NULL,18.0,2.0,NULL,NULL,17.0,48.0,NULL,539.0,726.0,37.0,21.0,52.0,13.0,101.0,247.0,7.0
Lars Stindl,Borussia Mönchengladbach,Hängende Spitze,21.0,30.0,3.0,0.0,3.0,Deutschland,1585.0,12.0,14.0,NULL,NULL,NULL,13.0,28.0,19.0,NULL,15.0,28.0,NULL,NULL,NULL,12.0,5.0,NULL,NULL,20.0,41.0,NULL,623.0,758.0,34.0,13.0,32.0,22.0,85.0,163.0,10.0
Yuya Osako,SV Werder Bremen,Mittelstürmer,21.0,29.0,3.0,0.0,3.0,Japan,1435.0,6.0,7.0,NULL,NULL,NULL,11.0,49.0,20.0,NULL,14.0,20.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,28.0,53.0,NULL,360.0,505.0,27.0,11.0,38.0,16.0,86.0,192.0,5.0
Patrick Herrmann,Borussia Mönchengladbach,Rechtsaußen,24.0,28.0,2.0,0.0,3.0,Deutschland,1184.0,4.0,NULL,NULL,NULL,NULL,14.0,21.0,16.0,NULL,12.0,25.0,NULL,NULL,NULL,11.0,5.0,NULL,NULL,8.0,26.0,NULL,393.0,527.0,19.0,14.0,31.0,24.0,50.0,114.0,4.5
Kenan Karaman,Fortuna Düsseldorf,Linksaußen,21.0,25.0,2.0,0.0,3.0,Türkei & Deutschland,1007.0,9.0,NULL,NULL,NULL,NULL,9.0,28.0,15.0,NULL,18.0,30.0,NULL,NULL,NULL,NULL,3.0,NULL,NULL,29.0,59.0,NULL,197.0,281.0,22.0,9.0,20.0,13.0,76.0,152.0,NULL
Matheus Pereira,1.FC Nürnberg,Rechtsaußen,19.0,22.0,2.0,0.0,3.0,Brasilien & Portugal,1311.0,10.0,13.0,NULL,NULL,NULL,12.0,37.0,28.0,NULL,40.0,56.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0,23.0,NULL,343.0,479.0,29.0,12.0,26.0,14.0,109.0,200.0,5.5
Nadiem Amiri,TSG 1899 Hoffenheim,Zentrales Mittelfeld,13.0,22.0,2.0,0.0,3.0,Deutschland & Afghanistan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.0
Jonathan Tah,Bayer 04 Leverkusen,Innenverteidiger,33.0,23.0,1.0,0.0,3.0,Deutschland & Elfenbeinküste,3130.0,4.0,46.0,NULL,NULL,NULL,30.0,15.0,16.0,NULL,17.0,20.0,1.0,NULL,NULL,137.0,NULL,NULL,NULL,76.0,109.0,NULL,2237.0,2493.0,12.0,30.0,58.0,6.0,150.0,229.0,40.0
Nabil Bentaleb,FC Schalke 04,Zentrales Mittelfeld,25.0,24.0,1.0,3.0,3.0,Algerien & Frankreich,1935.0,7.0,35.0,NULL,NULL,NULL,18.0,23.0,30.0,NULL,20.0,29.0,NULL,NULL,NULL,17.0,2.0,NULL,NULL,38.0,55.0,NULL,729.0,945.0,21.0,18.0,49.0,15.0,108.0,191.0,13.0
Kevin Möhwald,SV Werder Bremen,Offensives Mittelfeld,23.0,25.0,1.0,0.0,3.0,Deutschland,984.0,10.0,17.0,NULL,NULL,NULL,10.0,20.0,15.0,NULL,9.0,18.0,NULL,NULL,NULL,13.0,NULL,NULL,NULL,11.0,26.0,NULL,406.0,506.0,20.0,10.0,31.0,9.0,59.0,125.0,4.0
Bobby Wood,Hannover 96,Mittelstürmer,20.0,26.0,1.0,0.0,3.0,Vereinigte Staaten,1273.0,9.0,NULL,NULL,NULL,NULL,9.0,73.0,18.0,NULL,6.0,22.0,NULL,NULL,NULL,NULL,2.0,NULL,NULL,24.0,56.0,NULL,227.0,300.0,18.0,9.0,15.0,10.0,55.0,179.0,NULL
Steven Skrzybski,FC Schalke 04,Rechtsaußen,12.0,26.0,1.0,0.0,3.0,Deutschland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gonçalo Paciência,Eintracht Frankfurt,Mittelstürmer,11.0,24.0,1.0,0.0,3.0,Portugal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.0
Jonathas,Hannover 96,Mittelstürmer,10.0,30.0,1.0,1.0,3.0,Brasilien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Martin Hinteregger,Spiel für mehrere Vereine,Innenverteidiger,32.0,26.0,0.0,0.0,3.0,Österreich,2904.0,7.0,39.0,NULL,NULL,NULL,61.0,17.0,27.0,NULL,7.0,14.0,NULL,NULL,NULL,115.0,NULL,NULL,NULL,105.0,164.0,NULL,1078.0,1448.0,29.0,61.0,108.0,9.0,217.0,345.0,16.0
Robin Knoche,VfL Wolfsburg,Innenverteidiger,31.0,26.0,0.0,0.0,3.0,Deutschland,2986.0,5.0,42.0,NULL,NULL,NULL,20.0,NULL,13.0,NULL,7.0,9.0,2.0,NULL,NULL,135.0,NULL,NULL,NULL,77.0,136.0,NULL,1752.0,2040.0,14.0,20.0,39.0,NULL,127.0,217.0,8.0
Javi Martínez,FC Bayern München,Defensives Mittelfeld,21.0,30.0,0.0,0.0,3.0,Spanien,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27.0
