Name,SpielMinuten,Einsatz
"Robert Lewandowski",3129,33
"Paco Alcácer",1338,26
"Marco Reus",2463,27
"Wout Weghorst",3098,34
"Luka Jovic",2382,32
"Kai Havertz",3075,34
"Andrej Kramaric",2548,30
"Timo Werner",2605,30
"Ishak Belfodil",1982,28
"Sébastien Haller",2353,29
"Yussuf Poulsen",2595,31
"Kevin Volland",2983,34
"Jean-Philippe Mateta",2617,34
"Jadon Sancho",2644,34
"Alassane Plea",2640,34
"Max Kruse",3018,32
"Ondrej Duda",2687,32
"Thorgan Hazard",3035,33
"Serge Gnabry",1887,30
"Dodi Lukebakio",2077,31
"Benito Raman",1792,30
"Vedad Ibisevic",1878,28
"Nils Petersen",2087,24
"Alfred Finnbogason",1375,18
"Milot Rashica",1631,26
"Ante Rebic",2098,28
"Luca Waldschmidt",NULL,30
"Lucas Alario",1375,27
"Leon Goretzka",2158,30
"Salomon Kalou",2429,30
"Julian Brandt",2823,33
Joelinton,2268,28
"Mario Götze",1781,26
"Vincenzo Grifo",1868,23
"Daniel Caligiuri",2948,31
"Rouwen Hennings",1956,29
"James Rodríguez",NULL,20
"Robin Quaison",2323,28
"Karim Onisiwo",1236,26
"Mario Gómez",NULL,31
"Reiss Nelson",NULL,23
"Thomas Müller",2483,32
"Filip Kostic",3158,34
"Admir Mehmedi",1786,26
"Ádám Szalai",1787,30
"Kingsley Coman",1441,21
"Franck Ribéry",1308,25
"Daniel Ginczek",1373,24
"Michael Gregoritsch",2633,32
"Hendrik Weydandt",1847,28
"Maximilian Eggestein",3267,34
"Davy Klaassen",2985,33
"Jonas Hofmann",2019,27
"Karim Bellarabi",1131,19
"Breel Embolo",1411,20
"Leon Bailey",2018,29
"Claudio Pizarro",NULL,26
"Anastasios Donis",1017,24
"Steven Zuber",1706,22
"Renato Steffen",1592,31
"Lukas Klostermann",2141,26
"Marko Grujic",1907,22
"Nicolai Müller",1185,21
"Kerem Demirbay",2132,26
"Jean-Paul Boëtius",2257,30
"Emil Forsberg",1305,20
"Marco Richter",1510,25
"Marcel Sabitzer",2492,30
"André Hahn",2207,28
"Philipp Max",2732,30
"Mikael Ishak",2030,29
"Christian Pulisic",1030,20
"Martin Harnik",NULL,18
"Hanno Behrens",2795,30
"Ihlas Bebou",1137,12
"Johannes Eggestein",1194,23
"Axel Witsel",3093,33
"Denis Zakaria",2088,31
"Rani Khedira",2800,30
"Kaan Ayhan",2603,28
"Guido Burgstaller",1643,24
"Florian Niederlechner",1006,24
"Dong-won Ji",NULL,14
"Lucas Höler",1083,26
"Willi Orban",2167,24
"Anthony Ujah",NULL,22
"Arjen Robben",NULL,12
"Dawid Kownacki",NULL,10
"Florian Neuhaus",2164,32
"Davie Selke",1869,30
"Valentino Lazaro",2918,31
"Jonathan Schmid",2687,28
"Thomas Delaney",2427,30
"Marcel Halstenberg",2556,28
"Jonathan de Guzmán",1678,28
"Jérôme Roussillon",2617,28
"Daniel Brosinski",2343,26
"Pavel Kaderabek",NULL,29
"Theodor Gebre Selassie",3018,32
"David Alaba",2688,31
"John Anthony Brooks",2798,29
"Josip Brekalo",1515,25
"Eduard Löwen",1717,22
"Lars Stindl",1585,21
"Yuya Osako",1435,21
"Patrick Herrmann",1184,24
"Kenan Karaman",1007,21
"Matheus Pereira",1311,19
"Nadiem Amiri",NULL,13
"Jonathan Tah",3130,33
"Nabil Bentaleb",1935,25
"Kevin Möhwald",984,23
"Bobby Wood",1273,20
"Steven Skrzybski",NULL,12
"Gonçalo Paciência",NULL,11
Jonathas,NULL,10
"Martin Hinteregger",2904,32
"Robin Knoche",2986,31
"Javi Martínez",NULL,21
"Sergio Córdova",NULL,20
"Oliver Fink",1118,18
"Jean-Kévin Augustin",NULL,17
"Ozan Kabak",1431,15
"Joshua Kimmich",3247,34
"Maximilian Arnold",3047,33
"Charles Aránguiz",1994,24
"Yannick Gerhardt",2612,30
Thiago,2544,30
"Kevin Kampl",2212,27
"Raphaël Guerreiro",1633,23
"Danny da Costa",3253,34
"Gonzalo Castro",1786,25
"Achraf Hakimi",1871,21
"Javairô Dilrosun",NULL,17
William,2864,31
"Nicólas González",NULL,30
"Mike Frantz",2302,31
Wendell,2426,28
"Emiliano Insúa",2219,27
"Jérôme Gondorf",1404,25
"Jacob Bruun Larsen",1350,24
"Elvis Rexhbecaj",1225,24
"Daniel Didavi",1027,20
"Mark Uth",1507,20
"Jordan Torunarigha",1233,14
"Jean-Philippe Gbamin",2840,31
"Nico Elvedi",2776,30
"Ja-cheol Koo",1744,26
"Suat Serdar",1831,26
"Matheus Cunha",NULL,25
"Josuha Guilavogui",1666,19
"Christoph Kramer",1207,18
"Mathew Leckie",1017,18
"Niclas Füllkrug",1195,14
"Adam Zrelak",NULL,14
"Joshua Brenet",NULL,14
Raffael,NULL,13
"Niklas Süle",2831,31
"Salif Sané",2824,30
"Matthias Ginter",2522,27
"Georg Margreitter",2206,27
"Marc Oliver Kempf",NULL,23
"Aleksandar Dragovic",1443,18
"Federico Palacios",1022,17
"Florent Muslija",NULL,17
"Dan-Axel Zagadou",1361,17
Felipe,1173,17
"Ahmed Kutucu",NULL,13
"Roland Sallai",NULL,10
"Josh Sargent",NULL,10
"Josip Drmic",NULL,5
"Kevin Stöger",2255,25
"Nico Schulz",2711,30
"Lukasz Piszczek",1876,20
"Ludwig Augustinsson",3237,34
"Bastian Oczipka",2015,21
"Mitchell Weiser",2256,30
"Janik Haberer",2497,27
"Weston McKennie",1872,24
"Lars Bender",1428,20
"Matthias Zimmermann",3243,34
"Miiko Albornoz",1779,22
"Leonardo Bittencourt",1146,21
"Linton Maina",1460,20
"Takashi Usami",NULL,19
"Ermin Bicakcic",1920,25
"Maximilian Mittelstädt",1929,25
"Virgil Misidjan",1624,23
"Marvin Plattenhardt",2040,22
"Yunus Malli",NULL,21
"Jean Zimmer",1505,18
"Amine Harit",1152,18
"Dominique Heintz",3266,34
"Moussa Niakhaté",2975,33
"Oscar Wendt",2908,32
"Konrad Laimer",1972,29
"Ibrahima Konaté",2581,28
"Abdou Diallo",2554,28
"Evan N'Dicka",2483,27
Walace,2138,26
"Marvin Bakalorz",1590,25
"Alfredo Morales",1653,23
"Manuel Gulde",1840,21
"Mats Hummels",1873,21
"Nuri Sahin",1545,20
"Nordi Mukiele",1300,19
"Erik Thommy",NULL,19
"Maximilian Philipp",NULL,18
"Kevin Danso",1346,18
"Fabian Johnson",1082,18
"Renato Sanches",NULL,17
"Marvin Ducksch",NULL,16
"Törles Knöll",NULL,16
Rafinha,NULL,16
"Alessandro Schöpf",1093,15
"Felix Klaus",NULL,14
Bruma,NULL,14
"Alexander Hack",1084,14
Caiuby,NULL,14
"Yevhen Konoplianka",NULL,13
"Markus Suttner",NULL,6
"Waldemar Anton",3278,34
"Lukas Mühl",2972,31
"Gelson Fernandes",2348,28
"Matija Nastasic",2636,28
"Manuel Akanji",2371,25
"Robin Koch",2048,24
"Milos Veljkovic",2010,23
"Yuya Kubo",1430,22
"Niklas Stark",1996,22
"Alexandru Maxim",NULL,22
"Julian Weigl",1567,18
"Timo Baumgartl",1709,18
"Michael Lang",1319,17
"Marius Wolf",NULL,16
"Mahmoud Dahoud",NULL,14
"Marco Terrazzino",NULL,13
"Marcel Tisserand",NULL,10
"Amadou Haidara",NULL,9
"Julian Schieber",NULL,9
"Alexander Fuchs",NULL,9
"Haji Wright",NULL,7
"Felix Götze",NULL,6
"Alphonso Davies",NULL,6
"Corentin Tolisso",NULL,2
"Gian-Luca Waldschmidt",1830,30
James,1200,20
"Mario Gomez",2344,31
"Alexander Esswein",1303,17
"Adam Zrelák",1019,14
"Pascal Stenzel",1542,21
"Javier Martínez",1393,21
"Sebastian Kerk",1246,21
"Javairo Dilrosun",997,17
"Nicolás González",2288,30
"Pavel Kaderábek",2689,29
"Florian Grillitsch",2571,30
"Dominik Kohr",1065,18
"Danny Latza",1929,24
"Pierre Kunde",2028,29
"Daniel Baier",2980,33
"Genki Haraguchi",2285,28
"Ridle Baku",997,15
"Christian Gentner",2122,29
"Arne Maier",2187,24
"Christian Günter",3082,32
"Niko Gießelmann",2764,30
"Tin Jedvaj",1208,16
"Santiago Ascacibar",2574,27
"Nicolas Höfler",1719,18
"Ondrej Petrák",1737,22
"Sven Bender",2123,27
"Benjamin Pavard",2759,29
"Tim Leibold",2934,32
"Stefan Bell",2396,25
"Jérôme Boateng",1798,20
Aarón,3069,33
"Diego Demme",2155,26
"Philipp Bargfrede",1128,15
"Oliver Sorg",1679,19
"Jeffrey Gouweleeuw",2243,25
"Tony Jantschke",993,14
"Marcel Sobottka",1004,14
"D. Upamecano",1369,15
"Lukas Kübler",1264,16
"Kevin Wimmer",1820,22
"Marc-Oliver Kempf",2148,23
"Omar Mascarell",1073,14
"Julian Korb",1070,12
"Per Skjelbred",1059,16
"Stefan Ilsanker",1010,19
"Pirmin Schwegler",2182,27
"Andre Hoffmann",1131,13
"Patrick Erras",1317,19
Ewerton,1449,18
"David Abraham",1510,17
"Benjamin Stambouli",1902,21
"Marcin Kaminski",2581,27
"Robert Bauer",1816,22
"Karim Rekik",2198,24
"Matthias Ostrzolek",1581,18
"Adam Bodzek",1678,21
"Julian Baumgartlinger",1667,21
"Makoto Hasebe",2697,28
"Niklas Moisander",2835,30
"Kevin Vogt",2540,28
"Tobias Strobl",2431,29
"Sebastian Langkamp",1520,21
"Mijat Gacinovic",1760,29
"Stefan Posch",1499,17
"Andreas Beck",1872,24
"Sebastian Rudy",1455,21
"Enrico Valentini",1373,15
"Dennis Aogo",1069,15
"Ramazan Özcan",193,2
"Fabian Bredlow",1194,13
"Gregor Kobel",1565,17
"Alexander Nübel",1696,18
"Rune Jarstein",2924,31
"Lukás Hrádecky",3076,32
"Koen Casteels",2462,26
"Michael Esser",3084,32
"Luca Plogmann",47,1
"Yvon Mvogo",148,2
"Marwin Hitz",200,2
"Pavao Pervan",811,9
"Kevin Trapp",3149,33
"Thomas Kraft",339,4
"Ralf Fährmann",1596,17
"Christian Mathenia",2067,22
"Sven Ulreich",809,9
"Manuel Neuer",2438,26
"Ron-Robert Zieler",3240,34
"Yann Sommer",3252,34
"Florian Müller",2300,24
"Roman Bürki",3090,32
"Jirí Pavlenka",3188,34
"Péter Gulácsi",3097,33
"Oliver Baumann",3186,33
"Michael Rensing",3068,32
"Alexander Schwolow",3188,33
"Andreas Luthe",1408,15
"Dayot Upamecano",NULL,NULL
"Aarón Martín",NULL,NULL
Paulinho,NULL,NULL
"Leonardo Balerdi",NULL,NULL
"Tyler Adams",NULL,NULL
"Ignacio Camacho",NULL,NULL
"Panagiotis Retsos",NULL,NULL
"Santiago Ascacíbar",NULL,NULL
"Jiri Pavlenka",NULL,NULL
"Marcelo Saracchi",NULL,NULL
"Pierre Kunde Malong",NULL,NULL
"Rabbi Matondo",NULL,NULL
"Dennis Geiger",NULL,NULL
"Lukas Hradecky",NULL,NULL
"Benjamin Hübner",NULL,NULL
"Kasim Adams",NULL,NULL
"Almamy Touré",NULL,NULL
"Kevin Akpoguma",NULL,NULL
"Lucas Torró",NULL,NULL
"Jetro Willems",NULL,NULL
"Ömer Toprak",NULL,NULL
"Michaël Cuisance",NULL,NULL
"Pablo Maffeo",NULL,NULL
"Timothy Chandler",NULL,NULL
"Hamza Mendyl",NULL,NULL
"Simon Falette",NULL,NULL
"Philipp Lienhart",NULL,NULL
"Emile Smith Rowe",NULL,NULL
"Borna Sosa",NULL,NULL
"Reece Oxford",NULL,NULL
"Vladimir Darida",NULL,NULL
