Name,Age,Name,PassQuote
"Paco Alcácer","24-29","Paco Alcácer",73.95833333333334
"Ishak Belfodil","24-29","Ishak Belfodil",70.37037037037037
"Luka Jovic","18-23","Luka Jovic",69.15584415584416
"Florian Niederlechner","24-29","Florian Niederlechner",NULL
"Andrej Kramaric","24-29","Andrej Kramaric",76.28865979381443
"Serge Gnabry","18-23","Serge Gnabry",81.4420803782506
"Gian-Luca Waldschmidt",NULL,"Gian-Luca Waldschmidt",78.16091954022988
"Robert Lewandowski","30-34","Robert Lewandowski",77.34056987788331
James,NULL,James,83.00720906282183
"Alassane Plea","24-29","Alassane Plea",70.88607594936708
"Timo Werner","18-23","Timo Werner",71.68037602820212
"Milot Rashica","18-23","Milot Rashica",59.13555992141454
"Marco Richter","18-23","Marco Richter",66.66666666666666
"Kevin Volland","24-29","Kevin Volland",73.04347826086956
"Dodi Lukebakio","18-23","Dodi Lukebakio",72.64957264957265
"Benito Raman","24-29","Benito Raman",66.88453159041394
"Marco Reus","24-29","Marco Reus",80.13245033112582
"Karim Onisiwo","24-29","Karim Onisiwo",59.92063492063492
"Kai Havertz","18-23","Kai Havertz",86.27127951674905
"Max Kruse","30-34","Max Kruse",74.46808510638297
"Ante Rebic","24-29","Ante Rebic",53.95948434622467
"Kingsley Coman","18-23","Kingsley Coman",79.49852507374632
"Alfred Finnbogason","30-34","Alfred Finnbogason",68.09815950920245
"Jean-Philippe Mateta","18-23","Jean-Philippe Mateta",67.64705882352942
"Lucas Alario","24-29","Lucas Alario",74.51456310679612
"Ihlas Bebou","24-29","Ihlas Bebou",66.66666666666666
"Wout Weghorst","24-29","Wout Weghorst",69.47496947496947
"Rouwen Hennings","30-34","Rouwen Hennings",65.33333333333333
"Davie Selke","24-29","Davie Selke",58.10526315789474
"Ádám Szalai","30-34","Ádám Szalai",71.9047619047619
"Vedad Ibisevic","30-34","Vedad Ibisevic",70.80459770114943
"Sébastien Haller","24-29","Sébastien Haller",63.17780580075662
"Nils Petersen","30-34","Nils Petersen",67.12062256809338
"Guido Burgstaller","30-34","Guido Burgstaller",61.43790849673203
"Niclas Füllkrug","24-29","Niclas Füllkrug",69.0721649484536
"Thomas Müller","24-29","Thomas Müller",72.77734067663258
"Hendrik Weydandt","18-23","Hendrik Weydandt",56.659142212189614
"Emil Forsberg","24-29","Emil Forsberg",76.55954631379961
Joelinton,"18-23",Joelinton,79.20792079207921
"Marko Grujic","18-23","Marko Grujic",81.17154811715481
"Yussuf Poulsen","24-29","Yussuf Poulsen",60.379746835443036
"Daniel Ginczek","24-29","Daniel Ginczek",58.16618911174785
"Leon Goretzka","24-29","Leon Goretzka",87.06382978723404
"Kevin Möhwald","24-29","Kevin Möhwald",80.23715415019763
"Lucas Höler","24-29","Lucas Höler",65.90038314176245
"Johannes Eggestein","18-23","Johannes Eggestein",70
"Mark Uth","24-29","Mark Uth",71.80156657963447
"Anastasios Donis","18-23","Anastasios Donis",NULL
"Daniel Didavi","24-29","Daniel Didavi",70.71583514099783
"Karim Bellarabi","24-29","Karim Bellarabi",68.08943089430895
"Christian Pulisic","18-23","Christian Pulisic",75.28301886792454
"Michael Gregoritsch","24-29","Michael Gregoritsch",70.88744588744589
"Breel Embolo","18-23","Breel Embolo",63.601532567049816
"Vincenzo Grifo","24-29","Vincenzo Grifo",73.60672975814931
"Mario Götze","24-29","Mario Götze",80
"Mario Gomez",NULL,"Mario Gomez",65.65040650406505
"Kenan Karaman","24-29","Kenan Karaman",70.1067615658363
"Julian Brandt","18-23","Julian Brandt",76.92719486081371
"Mathew Leckie","24-29","Mathew Leckie",67.52136752136752
"Josip Brekalo","18-23","Josip Brekalo",68.0577849117175
"Raphaël Guerreiro","24-29","Raphaël Guerreiro",82.34280792420327
"Thorgan Hazard","24-29","Thorgan Hazard",70.35430224150397
"Nicolai Müller","30-34","Nicolai Müller",68.76971608832808
"Leon Bailey","18-23","Leon Bailey",65.50632911392405
"Franck Ribéry","35-40","Franck Ribéry",81.13207547169812
"Jadon Sancho","18-23","Jadon Sancho",80.11165387299371
"Kerem Demirbay","24-29","Kerem Demirbay",77.34650670430487
"Leonardo Bittencourt","24-29","Leonardo Bittencourt",75
"Yuya Kubo","24-29","Yuya Kubo",70.55961070559611
"Matheus Pereira","18-23","Matheus Pereira",71.60751565762004
"Steven Zuber","24-29","Steven Zuber",73.27707454289732
"Eduard Löwen","18-23","Eduard Löwen",74.24242424242425
"Lars Stindl","30-34","Lars Stindl",82.18997361477572
"Maximilian Arnold","24-29","Maximilian Arnold",75.76791808873719
"Ondrej Duda","24-29","Ondrej Duda",75.05919494869772
"Robin Quaison","24-29","Robin Quaison",72.12389380530973
"Admir Mehmedi","24-29","Admir Mehmedi",71.9029374201788
"Bobby Wood","24-29","Bobby Wood",75.66666666666667
"Salomon Kalou","30-34","Salomon Kalou",71.75141242937853
"Alexander Esswein",NULL,"Alexander Esswein",65.2654867256637
"Mikael Ishak","24-29","Mikael Ishak",69.12114014251782
"Marcel Sabitzer","24-29","Marcel Sabitzer",68.63711001642037
"André Hahn","24-29","André Hahn",53.84615384615385
"Kevin Kampl","24-29","Kevin Kampl",82.22811671087533
"Denis Zakaria","18-23","Denis Zakaria",82.09150326797385
"Jacob Bruun Larsen","18-23","Jacob Bruun Larsen",77.15355805243446
"Florian Neuhaus","18-23","Florian Neuhaus",82.10290827740492
"David Alaba","24-29","David Alaba",82.5233644859813
"Adam Zrelák",NULL,"Adam Zrelák",NULL
"Pascal Stenzel",NULL,"Pascal Stenzel",80.84632516703786
"Jean-Paul Boëtius","24-29","Jean-Paul Boëtius",75.43655413271246
"Javier Martínez",NULL,"Javier Martínez",87.56875687568757
"Filip Kostic","24-29","Filip Kostic",59.64579380139152
"Sebastian Kerk",NULL,"Sebastian Kerk",63.975155279503106
"Alfredo Morales","24-29","Alfredo Morales",74.33628318584071
"Renato Steffen","24-29","Renato Steffen",74.69670710571924
"Javairo Dilrosun",NULL,"Javairo Dilrosun",72.76422764227642
"Jérôme Gondorf","30-34","Jérôme Gondorf",68.2261208576998
"Jonas Hofmann","24-29","Jonas Hofmann",81.32854578096948
"Virgil Misidjan","24-29","Virgil Misidjan",68.18181818181817
"Suat Serdar","18-23","Suat Serdar",71.65532879818595
"Nicolás González",NULL,"Nicolás González",59.8705501618123
"Weston McKennie","18-23","Weston McKennie",68.73239436619718
"Philipp Max","24-29","Philipp Max",67.60450160771704
"Daniel Caligiuri","30-34","Daniel Caligiuri",67.03296703296702
"Willi Orban","24-29","Willi Orban",78.37837837837837
"Ja-cheol Koo","30-34","Ja-cheol Koo",80.28616852146264
"Pavel Kaderábek",NULL,"Pavel Kaderábek",74.68085106382979
"Kevin Danso","18-23","Kevin Danso",72.87319422150883
"Kevin Stöger","24-29","Kevin Stöger",82.28021978021978
"Mike Frantz","30-34","Mike Frantz",74.92537313432835
"Amine Harit","18-23","Amine Harit",79.49308755760369
"Theodor Gebre Selassie","30-34","Theodor Gebre Selassie",81.00659077291792
"Maximilian Eggestein","18-23","Maximilian Eggestein",79.41359950093575
"Yuya Osako","24-29","Yuya Osako",71.28712871287128
"Jonathan de Guzmán","30-34","Jonathan de Guzmán",72.88135593220339
"Thomas Delaney","24-29","Thomas Delaney",85.09852216748769
"Marcel Halstenberg","24-29","Marcel Halstenberg",72.51572327044025
"Florian Grillitsch",NULL,"Florian Grillitsch",83.16326530612244
"Jérôme Roussillon","24-29","Jérôme Roussillon",74.94489346069066
"Dominik Kohr",NULL,"Dominik Kohr",80.43478260869566
"Jonathan Schmid","24-29","Jonathan Schmid",78.63247863247864
"Danny Latza",NULL,"Danny Latza",79.82541222114452
"Maximilian Mittelstädt","18-23","Maximilian Mittelstädt",72.38307349665925
"Nabil Bentaleb","24-29","Nabil Bentaleb",77.14285714285715
"Axel Witsel","30-34","Axel Witsel",92.96939619520265
"Lars Bender","30-34","Lars Bender",82.49194414607949
"Ozan Kabak","18-23","Ozan Kabak",77.00534759358288
"Kaan Ayhan","24-29","Kaan Ayhan",87.88300835654597
"Pierre Kunde",NULL,"Pierre Kunde",80.05115089514067
"Patrick Herrmann","24-29","Patrick Herrmann",74.573055028463
"Daniel Baier",NULL,"Daniel Baier",75.75757575757575
"Davy Klaassen","24-29","Davy Klaassen",73.39228295819936
"Elvis Rexhbecaj","18-23","Elvis Rexhbecaj",69.47115384615384
"Hanno Behrens","24-29","Hanno Behrens",67.65350877192982
"Matthias Ginter","24-29","Matthias Ginter",86.18753509264458
Thiago,"24-29",Thiago,89.90683229813664
"Marvin Bakalorz","24-29","Marvin Bakalorz",74.44168734491315
"Mitchell Weiser","24-29","Mitchell Weiser",79.3859649122807
"Genki Haraguchi",NULL,"Genki Haraguchi",76.30662020905923
"Yannick Gerhardt","24-29","Yannick Gerhardt",75.49019607843137
"Ridle Baku",NULL,"Ridle Baku",81.51447661469933
"Josuha Guilavogui","24-29","Josuha Guilavogui",81.34328358208955
"Nico Schulz","24-29","Nico Schulz",74.983922829582
"Christian Gentner",NULL,"Christian Gentner",70.34482758620689
Walace,"24-29",Walace,84.94423791821562
"Lukas Klostermann","18-23","Lukas Klostermann",73.89597644749755
"Joshua Kimmich","24-29","Joshua Kimmich",85.65737051792829
"Alessandro Schöpf","24-29","Alessandro Schöpf",79.83193277310924
"Arne Maier",NULL,"Arne Maier",86.37510513036165
"Valentino Lazaro","18-23","Valentino Lazaro",72.48611967921036
"Oliver Fink","35-40","Oliver Fink",58.43828715365239
"Achraf Hakimi","18-23","Achraf Hakimi",85.13341804320204
"Mats Hummels","30-34","Mats Hummels",89.54623779437105
"Ermin Bicakcic","24-29","Ermin Bicakcic",88.04440649017934
"Christian Günter",NULL,"Christian Günter",72.27520435967303
"Daniel Brosinski","30-34","Daniel Brosinski",70.43931496649293
"Konrad Laimer","18-23","Konrad Laimer",70.74663402692778
"Niko Gießelmann",NULL,"Niko Gießelmann",72.80701754385966
"Charles Aránguiz","30-34","Charles Aránguiz",88.07506053268766
"Niklas Stark","24-29","Niklas Stark",83.88030888030889
"Christoph Kramer","24-29","Christoph Kramer",88.45108695652173
"Tin Jedvaj",NULL,"Tin Jedvaj",78.99159663865547
Wendell,"24-29",Wendell,84.25443169968717
"Jean-Philippe Gbamin","18-23","Jean-Philippe Gbamin",79.20937042459737
William,"24-29",William,73.48314606741573
"Martin Hinteregger","24-29","Martin Hinteregger",74.4475138121547
"Santiago Ascacibar",NULL,"Santiago Ascacibar",80.30852994555354
"Nicolas Höfler",NULL,"Nicolas Höfler",86.16780045351474
"Nordi Mukiele","18-23","Nordi Mukiele",72.10599721059972
"Ondrej Petrák",NULL,"Ondrej Petrák",85.37271448663853
"Michael Lang","24-29","Michael Lang",80.64918851435705
"Emiliano Insúa","30-34","Emiliano Insúa",73.57089829250185
"Miiko Albornoz","24-29","Miiko Albornoz",74.73903966597078
"Dan-Axel Zagadou","18-23","Dan-Axel Zagadou",87.76290630975143
"John Anthony Brooks","24-29","John Anthony Brooks",85.7307249712313
"Lukasz Piszczek","30-34","Lukasz Piszczek",81.12781954887218
"Niklas Süle","18-23","Niklas Süle",92.94621979734995
"Aleksandar Dragovic","24-29","Aleksandar Dragovic",89.97240110395585
"Linton Maina","18-23","Linton Maina",74.05189620758483
"Jean Zimmer","24-29","Jean Zimmer",69.21797004991681
"Nuri Sahin","30-34","Nuri Sahin",83.79588182632051
"Matija Nastasic","24-29","Matija Nastasic",82.25806451612904
"Sven Bender",NULL,"Sven Bender",90.78396169958108
"Ludwig Augustinsson","24-29","Ludwig Augustinsson",78.59684799186579
"Danny da Costa","24-29","Danny da Costa",63.25616131441374
"Georg Margreitter","30-34","Georg Margreitter",81.54859967051071
"Benjamin Pavard",NULL,"Benjamin Pavard",84.15841584158416
"Rani Khedira","24-29","Rani Khedira",81.70926517571885
"Oscar Wendt","30-34","Oscar Wendt",79.47198275862068
"Tim Leibold",NULL,"Tim Leibold",77.39294710327455
"Gonzalo Castro","30-34","Gonzalo Castro",73.28918322295806
"Robin Knoche","24-29","Robin Knoche",85.88235294117646
"Stefan Bell",NULL,"Stefan Bell",79.15632754342433
"Jérôme Boateng",NULL,"Jérôme Boateng",88.75077688004971
Aarón,NULL,Aarón,74.42263279445727
"Janik Haberer","24-29","Janik Haberer",78.30540037243948
"Abdou Diallo","18-23","Abdou Diallo",88.4517118037813
"Ibrahima Konaté","18-23","Ibrahima Konaté",76.08486017357762
"Waldemar Anton","18-23","Waldemar Anton",83.41040462427746
"Milos Veljkovic","18-23","Milos Veljkovic",84.43548387096774
"Diego Demme",NULL,"Diego Demme",79.7244094488189
"Jonathan Tah","18-23","Jonathan Tah",89.73124749298034
"Gelson Fernandes","30-34","Gelson Fernandes",83.33333333333334
"Manuel Akanji","18-23","Manuel Akanji",92.9805615550756
"Matthias Zimmermann","24-29","Matthias Zimmermann",74.92391965916008
"Dominique Heintz","24-29","Dominique Heintz",81.70878459687124
"Nico Elvedi","18-23","Nico Elvedi",92.64776549735704
"Salif Sané","24-29","Salif Sané",83.06294613887087
"Lukas Mühl","18-23","Lukas Mühl",83.96161754626456
"Moussa Niakhaté","18-23","Moussa Niakhaté",82.25701239399869
"Alexander Hack","24-29","Alexander Hack",75.53956834532374
Felipe,"30-34",Felipe,74.44668008048289
"Philipp Bargfrede",NULL,"Philipp Bargfrede",81.65467625899281
"Oliver Sorg",NULL,"Oliver Sorg",74.0119760479042
"Jeffrey Gouweleeuw",NULL,"Jeffrey Gouweleeuw",76.75185490519374
"Tony Jantschke",NULL,"Tony Jantschke",89.93788819875776
"Marcel Sobottka",NULL,"Marcel Sobottka",79.52522255192879
"D. Upamecano",NULL,"D. Upamecano",82.79569892473118
"Lukas Kübler",NULL,"Lukas Kübler",68.5251798561151
"Jordan Torunarigha","18-23","Jordan Torunarigha",78.83064516129032
"Kevin Wimmer",NULL,"Kevin Wimmer",80.68833652007649
"Marc-Oliver Kempf",NULL,"Marc-Oliver Kempf",80.9108527131783
"Omar Mascarell",NULL,"Omar Mascarell",83.93234672304439
"Julian Korb",NULL,"Julian Korb",70.5340699815838
"Per Skjelbred",NULL,"Per Skjelbred",85.81314878892734
"Stefan Ilsanker",NULL,"Stefan Ilsanker",78.70967741935485
"Pirmin Schwegler",NULL,"Pirmin Schwegler",76.93588676103246
"Andre Hoffmann",NULL,"Andre Hoffmann",87.4239350912779
"Patrick Erras",NULL,"Patrick Erras",79.87152034261243
Ewerton,NULL,Ewerton,84.10596026490066
"David Abraham",NULL,"David Abraham",76.87687687687688
"Benjamin Stambouli",NULL,"Benjamin Stambouli",76.35814889336015
"Marcin Kaminski",NULL,"Marcin Kaminski",83.87650085763293
"Robert Bauer",NULL,"Robert Bauer",71.30647130647131
"Karim Rekik",NULL,"Karim Rekik",88.05460750853243
"Matthias Ostrzolek",NULL,"Matthias Ostrzolek",74.70198675496688
"Timo Baumgartl","18-23","Timo Baumgartl",81.74418604651163
"Adam Bodzek",NULL,"Adam Bodzek",84.4927536231884
"Julian Baumgartlinger",NULL,"Julian Baumgartlinger",89.47750362844702
"Makoto Hasebe",NULL,"Makoto Hasebe",85.12679917751885
"Robin Koch","18-23","Robin Koch",81.77727784026997
"Niklas Moisander",NULL,"Niklas Moisander",86.14116434827409
"Kevin Vogt",NULL,"Kevin Vogt",89.2722371967655
"Tobias Strobl",NULL,"Tobias Strobl",89.98655913978494
"Sebastian Langkamp",NULL,"Sebastian Langkamp",88.64809081527348
"Mijat Gacinovic",NULL,"Mijat Gacinovic",69.9836867862969
"Manuel Gulde","24-29","Manuel Gulde",82.07762557077626
"Evan N'Dicka","18-23","Evan N'Dicka",79.24528301886792
"Stefan Posch",NULL,"Stefan Posch",87.91208791208791
"Bastian Oczipka","30-34","Bastian Oczipka",75.09293680297398
"Andreas Beck",NULL,"Andreas Beck",70.49180327868852
"Julian Weigl","18-23","Julian Weigl",92.9635761589404
"Fabian Johnson","30-34","Fabian Johnson",79.78533094812164
"Federico Palacios","24-29","Federico Palacios",81.54362416107382
"Sebastian Rudy",NULL,"Sebastian Rudy",79.3984962406015
"Enrico Valentini",NULL,"Enrico Valentini",64.80519480519482
"Dennis Aogo",NULL,"Dennis Aogo",82.26086956521739
"Marvin Plattenhardt","24-29","Marvin Plattenhardt",72.98494242692648
